id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
1.41556E+17,null,https://twitter.com/benyt/status/141555713498550273,benyt,null,,null,,null,Gingrich sent out a fundraising email via the promotional list of the Jerusalem Post just now,twitter,2011-11-29,null,null
1.41224E+17,null,https://twitter.com/lynseyaddario/status/141223904701194240,lynseyaddario,null,,null,,null,Defense Ministry apologizes to NY... JPost - Diplomacy & Politics  http://t.co/9IZbGabV via @Jerusalem_Post,twitter,2011-11-28,null,null
1.18825E+17,null,https://twitter.com/benyt/status/118825252850634752,benyt,null,,null,,null,Huge bump for Obama in JPost poll: 54% of Israeli Jews now see him as pro-Israel  http://t.co/7k2eT5PF #51ststate,twitter,2011-09-27,null,null
1.17268E+17,null,https://twitter.com/benyt/status/117268186457571329,benyt,null,,null,,null,RT @DidiRemez: Barack Obama as Zionist Captain America on the cover of Maariv Magazine.  http://t.co/K0zvAGEt,twitter,2011-09-23,null,null
9.93237E+16,null,https://twitter.com/benyt/status/99323663471493121,benyt,null,,null,,null,"RT @lrozen: wow. JPost truly apologizes/retracts its editorial on Norway attacks. ""Hope Norway forgives us"" ...  http://t.co/NP7JVBI",twitter,2011-08-05,null,null
9.93118E+16,null,https://twitter.com/adamgoldmanNYT/status/99311817125412864,adamgoldmannyt,null,,null,,null,Jerusalem post apologizes to Norway  Editorials  http://t.co/K66ZeRf via @Jerusalem_Post,twitter,2011-08-05,null,null
9.04896E+16,null,https://twitter.com/reidepstein/status/90489552015339520,reidepstein,null,,null,,null,"Jerusalem Post on Glenn Beck's visit: ""Some seemed to think he was not right-wing enough when it comes to Israel.""  http://bit.ly/obACRC",twitter,2011-07-11,null,null
8.91837E+16,null,https://twitter.com/adamgoldmanNYT/status/89183684028153856,adamgoldmannyt,null,,null,,null,Yonatan Netanyahu’s ody... JPost - Features - Insights & Features  http://t.co/XDgUgQV via @Jerusalem_Post,twitter,2011-07-08,null,null
8.02672E+16,null,https://twitter.com/adamgoldmanNYT/status/80267220508352512,adamgoldmannyt,null,,null,,null,Alleged 'spy' in Egypt is US citizen IDF ... JPost - Middle East  http://t.co/gMOdLad via @Jerusalem_Post,twitter,2011-06-13,null,null
2.56514E+16,null,https://twitter.com/carolrosenberg/status/25651400323108864,carolrosenberg,null,,null,,null,Jerusalem Post editorial raises #Guantanamo policy in asking Obama to free former Navy intel analyst who spied for Israel  http://ht.ly/3DrmF,twitter,2011-01-13,null,null
25168842769,null,https://twitter.com/benyt/status/25168842769,benyt,null,,null,,null,Cancel last.  JPost story is wrong. Fayyad and Peres did shake hands if not with great warmth.  http://is.gd/fmcM2,twitter,2010-09-22,null,null
25036110713,null,https://twitter.com/benyt/status/25036110713,benyt,null,,null,,null,RT @Diament_OU: #Pollard to be swapped for settlement freeze?  http://www.jpost.com/International/Article.aspx?id=188647,twitter,2010-09-20,null,null
5969034283,null,https://twitter.com/tminsberg/status/5969034283,tminsberg,null,,null,,null,Gilad may be coming home soon-  http://www.jpost.com/servlet/Satellite?cid=1258705165794&pagename=JPost%2FJPArticle%2FShowFull,twitter,2009-11-23,null,null
5798717342,null,https://twitter.com/tminsberg/status/5798717342,tminsberg,null,,null,,null,Check out some of my newest articles in the jpost-  http://tinyurl.com/yey98pz and  http://tinyurl.com/yfrh7pg,twitter,2009-11-17,null,null
5282385259,null,https://twitter.com/tminsberg/status/5282385259,tminsberg,null,,null,,null,New Jpost Article-  http://bit.ly/3Vqcn6,twitter,2009-10-30,null,null
5251908284,null,https://twitter.com/tminsberg/status/5251908284,tminsberg,null,,null,,null,New Jpost article check it out-  http://tinyurl.com/yl367hd,twitter,2009-10-29,null,null
3814249337,null,https://twitter.com/tminsberg/status/3814249337,tminsberg,null,,null,,null,newest jpost article- taekwondo championship in Jerusalem-  http://bit.ly/CP0xD,twitter,2009-09-07,null,null
3688868942,null,https://twitter.com/tminsberg/status/3688868942,tminsberg,null,,null,,null,New article I wrote published on the front page of today's Jerusalem Post-  http://tinyurl.com/ns7bz4,twitter,2009-09-01,null,null
2531289086,null,https://twitter.com/marknyt/status/2531289086,marknyt,null,,null,,null,NRG Energy Rejects Latest Bid From Exelon: http://www.nytimes.com/2009/07/09/business/09exelon.html?ref=business,twitter,2009-07-08,null,null
