UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
339,@mekomit,,Twitter Handle,Israeli|Hebrew|Critical|Current-Affairs,Israel,,Sikha Mekomit,,
340,@ArutzSheva_En,,Twitter Handle,Israeli|English|Ultra-Nationalist|Current-Affairs,Israel,,Arutz 7 - English,,
341,@arutz7heb,,Twitter Handle,Israeli|Hebrew|Ultra-Nationalist|Current-Affairs,Israel,,Arutz 7 - Hebrew,,
342,@calcalist,,Twitter Handle,Israeli|Hebrew|Financial,Israel,,Calcalist,,
343,@debka_english,,Twitter Handle,Israeli|English|Hawkish|Security,Israel,,Debka File - English,,
343,@debkafile,,Twitter Handle,Israeli|English|Hawkish|Security,Israel,,Debka File - English,,
344,@debka_hebrew,,Twitter Handle,Israeli|Hebrew|Hawkish|Security,Israel,,Debka File - Hebrew,,
345,@globesnews,,Twitter Handle,Israeli|Hebrew|Financial,Israel,,Globes,,
346,@GlobesEnglish,,Twitter Handle,Israeli|English|Financial,Israel,,Globes - English,,
347,@haaretzcom,,Twitter Handle,Israeli|English|Left-Liberal|Current-Affairs,Israel,,Haaretz - Engish,,
348,@Haaretz,,Twitter Handle,Israeli|Hebrew|Left-Liberal|Current-Affairs,Israel,,Haaretz - Hebrew,,
349,@HamodiaUS,,Twitter Handle,Israeli|Hebrew|Ultra-Orthodox|Current-Affairs,Israel,,HaModia,,
350,@IsraelHayomEng,,Twitter Handle,Israeli|English|Hawkish|Current-Affairs,Israel,,Israel Hayom - English,,
351,@IsraelHayomHeb,,Twitter Handle,Israeli|Hebrew|Hawkish|Current-Affairs,Israel,,Israel Hayom - Hebrew,,
352,@JDNfeed,,Twitter Handle,Israeli|Hebrew|Ultra-Orthodox|Current-Affairs,Israel,,Jewish Ultra-Orthodox News ,,
353,@Jerusalem_Post,,Twitter Handle,Israeli|English|Centrist|Current-Affairs,Israel,,Jerusalem Post,,
353,@JPostOpinion,,Twitter Handle,Israeli|English|Centrist|Current-Affairs,Israel,,Jerusalem Post,,
354,@MakorRishon,,Twitter Handle,Israeli|Hebrew|Ultra-Nationalist|Current-Affairs,Israel,,Makor Rishon,,
355,@maarivonline,,Twitter Handle,Israeli|Hebrew|Centrist|Current-Affairs,Israel,,Maariv,,
356,@TheMarker,,Twitter Handle,Israeli|Hebrew|Financial,Israel,,The Marker,,
357,@TimesofIsrael,,Twitter Handle,Israeli|English|Centrist|Current-Affairs,Israel,,Times of Israel,,
